IdVisita,codeSowing,Berberis_vivos,Berberis_muertos,Juniperus_vivos,Juniperus_muertos,Humedad,observaciones
2020_4,R22,0,0,0,0,0.8,NA
2020_4,R24,2,0,0,0,5,NA
2020_4,R26,1,0,0,0,2.3,NA
2020_4,G21,0,0,0,0,2.9,NA
2020_4,G210,0,0,0,0,1.6,NA
2020_4,E21,7,0,0,0,2.9,NA
2020_4,E23,1,0,0,0,5.3,NA
2020_4,E24,3,0,0,0,2.3,H4
2020_4,B21,0,0,1,0,5.4,Juniperus de hace dos años
2020_4,B23,0,0,0,0,30.4,No se pudo leer los datos del sensor
2020_4,R34,0,0,0,0,2.9,NA
2020_4,R35,0,0,0,0,3,NA
2020_4,R36,0,0,0,0,1.5,NA
2020_4,R38,0,0,0,0,2.8,NA
2020_4,G31,0,0,0,0,2.9,NA
2020_4,G32,0,0,0,0,3,NA
2020_4,G33,0,0,0,0,2,NA
2020_4,G34,0,0,0,0,3.7,NA
2020_4,E31,0,0,0,0,2,NA
2020_4,E32,3,0,0,0,1.4,NA
2020_4,E36,0,0,0,0,1.9,NA
2020_4,E310,0,0,0,0,4.1,nuevos
2020_4,P310,0,0,0,0,3,Sensor P35
2020_4,B31,0,0,0,0,37.2,NA
2020_4,B33,0,0,0,0,35,NA
2020_4,B34,0,0,0,0,3.9,NA
2020_4,B38,0,0,0,0,48.2,NA
2020_4,B39,0,0,0,0,73.4,NA
2020_3,R41,0,0,0,0,4.5,NA
2020_3,R42,0,0,0,0,2,NA
2020_3,R45,0,0,0,0,6.7,NA
2020_3,B43,0,0,0,0,9.4,NA
2020_3,B48,0,0,0,0,14.4,NA
2020_3,B410,0,0,0,0,19,Sensor P22
2020_3,R51,0,0,0,0,3.8,NA
2020_3,R52,0,0,0,0,2.3,NA
2020_3,R56,0,0,0,0,3.6,NA
2020_3,R510,0,0,0,0,2.5,Sensor X1
2020_3,B51,0,0,0,0,11.1,NA
2020_3,B510,0,0,0,0,33.4,NA
2020_1,R11,0,0,0,0,3.1,NA
2020_1,R12,8,0,0,0,2.3,NA
2020_1,R14,3,0,0,0,1.7,NA
2020_1,R17,0,0,0,0,4.9,NA
2020_1,G14,4,0,0,0,3,NA
2020_1,G15,0,0,0,0,6,NA
2020_1,G16,0,0,0,0,2.3,NA
2020_1,G17,0,0,0,0,6,NA
2020_1,G18,NA,NA,NA,NA,NA,No se encuentra
2020_1,G110,0,0,0,0,5,NA
2020_1,E13,0,0,0,0,4,NA
2020_1,E14,0,0,0,0,6,NA
2020_1,E19,0,0,1,0,16,Juniperus germinación del año
2020_1,E110,0,0,0,0,3.2,Mucha hojarasca. No suelo
2020_1,R22,0,0,0,0,10,NA
2020_1,R24,2,0,0,0,9.2,NA
2020_1,R26,4,0,0,0,6,NA
2020_1,G21,0,0,0,0,11,NA
2020_1,G210,0,0,0,0,6,NA
2020_1,E21,7,0,0,0,4,berberis nuevos
2020_1,E23,1,0,1,0,2.5,berberis nuevos
2020_1,E24,3,0,0,0,2.4,"2 nuevos, 1 viejo"
2020_1,B21,0,0,1,0,20.8,Juniperus de hace dos años
2020_1,B23,0,0,0,0,30,NA
2020_1,R34,0,0,0,0,1.7,NA
2020_1,R35,0,0,0,0,3.3,NA
2020_1,R36,0,0,0,0,4.3,NA
2020_1,R38,0,0,0,0,10,NA
2020_1,G31,0,0,0,0,6.1,NA
2020_1,G32,1,0,0,0,1.9,NA
2020_1,G33,0,0,0,0,2.5,NA
2020_1,G34,1,0,0,0,3.7,NA
2020_1,E31,0,0,0,0,3.1,NA
2020_1,E32,4,0,0,0,8,NA
2020_1,E36,0,0,0,0,5.4,NA
2020_1,E310,1,0,0,0,5.9,nuevos
2020_1,P310,0,0,0,0,10,NA
2020_1,B31,0,0,0,0,53,NA
2020_1,B33,0,0,0,0,25,NA
2020_1,B34,0,0,0,0,40,NA
2020_1,B38,0,0,0,0,43,NA
2020_1,B39,0,0,0,0,62,NA
2020_2,R41,0,0,0,0,2.3,NA
2020_2,R42,0,0,0,0,1.5,NA
2020_2,R45,0,0,0,0,0.8,NA
2020_2,B43,0,0,0,0,0,NA
2020_2,B48,0,0,0,0,1.9,NA
2020_2,B410,0,0,0,0,2,NA
2020_2,R51,0,0,0,0,1.7,NA
2020_2,R52,0,0,0,0,1.3,NA
2020_2,R56,0,0,0,0,1.5,NA
2020_2,R510,0,0,0,0,0.7,NA
2020_2,B51,0,0,0,0,0.8,NA
2020_2,B510,0,0,0,0,23.8,NA
2019_1,R11,1,0,2,0,4,NA
2019_1,R12,7,0,0,0,7,NA
2019_1,R14,3,0,0,0,4,NA
2019_1,R17,2,0,0,0,4,NA
2019_1,G14,1,0,0,0,6,Etiqueta amarilla
2019_1,G15,4,1,0,0,2,Etiqueta amarilla
2019_1,G16,1,0,0,0,5,Sin etiqueta
2019_1,G17,3,0,0,0,3,NA
2019_1,G18,0,0,0,0,11,Sin etiqueta. Se ha puesto etiqueta amarilla
2019_1,G110,1,0,0,0,10,LANP33 66% batería y 42% memoria
2019_1,E13,3,0,1,0,5,NA
2019_1,E14,0,0,2,0,5,NA
2019_1,E19,0,0,0,0,0,P4 93% batería y 42% memoria
2019_1,E110,5,0,1,0,4,NA
2019_1,R22,1,0,0,0,9,NA
2019_1,R24,1,0,0,0,5,NA
2019_1,R26,1,0,0,0,6,NA
2019_1,G21,0,0,0,0,4,NA
2019_1,G210,0,0,0,0,4,NA
2019_1,E21,7,0,0,0,5,NA
2019_1,E23,2,0,0,0,13,NA
2019_1,E24,2,0,0,0,6,Ponemos sensor H4
2019_1,B21,0,0,0,0,14,Aplastada y desplazada
2019_1,B23,2,0,2,0,35,Aplastada. Ponemos sensor H3
2019_1,R34,0,0,0,0,9,"Sin etiqueta, se le pone una nueva"
2019_1,R35,0,0,0,0,7,NA
2019_1,R36,0,0,0,0,8,NA
2019_1,R38,0,0,0,0,6,Desplazado el protector
2019_1,G31,0,0,0,0,8,NA
2019_1,G32,0,0,2,0,12,NA
2019_1,G33,0,0,1,0,7,NA
2019_1,G34,1,0,0,0,4,"Sin etiqueta, se le pone una nueva"
2019_1,E31,0,0,1,0,13,Cambiar etiqueta
2019_1,E32,3,0,0,0,10,NA
2019_1,E36,0,0,0,0,5,NA
2019_1,E310,0,0,0,0,5,NA
2019_1,P310,2,0,3,0,8,Poner etiqueta
2019_1,B31,1,0,1,0,19,Aplastada
2019_1,B33,0,0,0,0,19,Aplastada
2019_1,B34,1,0,0,0,19,Aplastada. Sensor H5
2019_1,B38,0,0,0,0,6,Aplastada
2019_1,B39,0,0,1,2,18,Aplastada
2019_2,R41,0,0,0,0,6,NA
2019_2,R42,1,2,0,0,4,NA
2019_2,R45,0,0,0,0,6,NA
2019_2,B43,0,0,0,0,18,NA
2019_2,B48,0,0,0,0,18,NA
2019_2,B410,0,0,1,0,26,Lectura sensor P22 (73 % Bat // 42 % Humedad)
2019_2,R51,0,0,0,0,12,NA
2019_2,R52,0,0,0,0,18,NA
2019_2,R56,0,0,0,0,9,NA
2019_2,R510,0,0,0,0,8,Lectura datos sensor X1 53 % Bat // 42 % humedad
2019_2,B51,0,0,0,0,18,NA
2019_2,B510,0,0,0,0,43,NA
2019_4,R11,0,0,0,0,-999,NA
2019_4,R12,8,0,0,0,-999,NA
2019_4,R14,2,0,0,0,-999,NA
2019_4,R17,2,0,0,0,-999,NA
2019_4,G14,0,0,0,0,-999,NA
2019_4,G15,0,0,0,0,-999,NA
2019_4,G16,0,0,0,0,-999,NA
2019_4,G17,0,0,0,0,-999,NA
2019_4,G18,0,0,0,0,-999,NA
2019_4,G110,0,0,0,0,-999,LANp33 53% bat // 50 Memo
2019_4,E13,10,0,0,0,-999,NA
2019_4,E14,0,0,0,0,-999,NA
2019_4,E19,0,0,0,0,-999,Data logger. P4 // Bat 66 // Memoria 50
2019_4,E110,1,1,0,0,-999,NA
2019_4,R22,0,0,0,0,10,NA
2019_4,R24,0,0,0,0,12,NA
2019_4,R26,3,0,0,0,14,NA
2019_4,G21,0,0,0,0,10,NA
2019_4,G210,0,0,0,0,14,NA
2019_4,E21,7,0,0,0,10,NA
2019_4,E23,1,0,0,0,16,NA
2019_4,E24,2,0,0,0,14,NA
2019_4,B21,0,0,2,0,16,Jaulilla desplazada. Foto B-2-1
2019_4,B23,0,0,0,0,20,NA
2019_4,R34,0,0,0,0,10,Mal etiquetada
2019_4,R35,0,0,0,0,8,Sin etiqueta vieja
2019_4,R36,0,0,0,0,10,NA
2019_4,R38,0,0,0,0,10,NA
2019_4,G31,0,0,0,0,14,Mal etiquetada
2019_4,G32,0,0,0,0,11,Jaula desplazada
2019_4,G33,0,0,0,0,16,NA
2019_4,G34,1,0,0,0,17,NA
2019_4,E31,0,0,0,0,16,NA
2019_4,E32,NA,NA,NA,NA,NA,No encontrado
2019_4,E36,0,0,0,0,10,NA
2019_4,E310,0,0,0,0,16,NA
2019_4,P310,0,0,0,0,14,Con datalogger
2019_4,B31,1,0,2,0,38,Jaulilla aplastada
2019_4,B33,0,0,0,0,16,Jaulilla aplastada
2019_4,B34,1,0,2,0,27,Con datalogger
2019_4,B38,0,0,0,0,39,Jaulilla aplastada
2019_4,B39,0,0,0,0,45,Jaulilla aplastada
2019_3,R41,0,0,0,0,8,NA
2019_3,R42,0,0,0,0,10,NA
2019_3,R45,0,0,0,0,10,NA
2019_3,B43,0,0,0,0,16,NA
2019_3,B48,0,0,0,0,20,NA
2019_3,B410,0,0,1,0,12,Lectura sensor P22 (73 % Bat // 42 % Humedad)
2019_3,R51,0,0,0,0,8,NA
2019_3,R52,0,0,0,0,8,NA
2019_3,R56,0,0,0,0,10,NA
2019_3,R510,0,0,0,0,16,Lectura datos sensor X1 33 % Bat // 51 % humedad
2019_3,B51,0,0,0,0,11,NA
2019_3,B510,0,0,0,0,18,NA
2018_3,R11,2,1,0,0,2,NA
2018_3,R12,8,0,2,0,3,NA
2018_3,R14,5,0,0,0,4,NA
2018_3,R17,3,2,0,0,2,Eliminar malas hierbas
2018_3,G14,2,2,0,0,4,Se arreglo la jaula
2018_3,G15,7,4,3,0,4,NA
2018_3,G16,0,8,0,0,0,NA
2018_3,G17,3,1,1,0,2,NA
2018_3,G18,0,2,0,0,3,NA
2018_3,G110,1,5,0,0,4,Sensor P3.3 // 86 % bat // 25 % memoria
2018_3,E13,2,2,1,0,2,NA
2018_3,E14,1,7,0,0,4,NA
2018_3,E19,1,1,0,0,4,NA
2018_3,E110,0,1,0,0,3,Sensor P4 // 93 % bat // 25 % memoria
2018_3,R22,1,0,0,0,2,NA
2018_3,R24,2,0,0,0,3,NA
2018_3,R26,4,3,1,0,7,NA
2018_3,G21,1,0,1,0,1,NA
2018_3,G210,0,3,0,0,1,NA
2018_4,E21,2,1,2,0,4,NA
2018_4,E23,5,1,0,0,6,NA
2018_4,E24,4,6,1,0,4,NA
2018_4,B21,2,0,2,0,11,Se arreglo la jaula
2018_4,B23,1,0,2,0,15,Se arreglo la jaula
2018_4,R34,0,1,0,2,1,NA
2018_4,R35,0,0,0,0,0,NA
2018_4,R36,3,1,0,0,2,NA
2018_4,R38,0,1,0,0,4,NA
2018_4,G31,3,2,0,0,3,NA
2018_4,G32,1,4,0,0,6,NA
2018_4,G33,1,2,0,0,5,NA
2018_4,G34,2,3,1,0,5,NA
2018_4,E31,0,3,0,0,3,NA
2018_4,E32,5,4,0,0,3,NA
2018_4,E36,0,3,0,0,4,NA
2018_4,E310,2,0,0,0,5,NA
2018_4,P310,0,0,0,0,4,Se arreglo la jaula
2018_4,B31,1,0,1,0,31,NA
2018_4,B33,0,0,0,0,20,NA
2018_4,B34,1,0,3,0,46,NA
2018_4,B38,0,0,2,0,8,Se arreglo la jaula
2018_4,B39,1,0,2,0,11,NA
2018_5,R41,1,8,0,1,4,NA
2018_5,R42,0,0,0,0,1,NA
2018_5,R45,0,0,0,0,5,NA
2018_5,B43,0,0,0,1,3,NA
2018_5,B48,0,0,0,0,3,NA
2018_5,B410,5,1,0,0,5,NA
2018_5,R51,1,0,1,0,1,Síntomas de estrés hídrico
2018_5,R52,1,0,1,0,4,NA
2018_5,R56,0,0,0,0,0,NA
2018_5,R510,0,0,0,0,4,NA
2018_5,B51,0,0,1,0,6,NA
2018_5,B510,4,0,1,0,54,NA
2018_2,R11,3,0,0,0,9,J+H
2018_2,R12,9,0,2,0,10,NA
2018_2,R14,5,0,1,0,8,NA
2018_2,R17,6,0,1,0,8,NA
2018_2,G14,7,0,2,0,4,J
2018_2,G15,10,0,4,0,4,J+H
2018_2,G16,9,0,2,0,6,J+H
2018_2,G17,6,0,1,0,8,NA
2018_2,G18,3,0,0,0,2,NA
2018_2,G110,10,0,1,0,14,NA
2018_2,E13,7,0,0,0,10,NA
2018_2,E14,10,0,0,0,4,NA
2018_2,E19,3,0,0,0,4,NA
2018_2,E110,5,0,0,0,10,NA
2018_2,R22,2,0,5,0,7,H
2018_2,R24,2,0,1,0,8,H
2018_2,R26,11,0,2,0,8,H
2018_2,G21,1,0,0,0,14,NA
2018_2,G210,3,0,1,0,4,NA
2018_2,E21,3,0,1,0,8,NA
2018_2,E23,5,0,0,0,4,J+H
2018_2,E24,20,0,1,0,8,NA
2018_2,B21,2,0,2,0,18,J
2018_2,B23,1,0,2,0,41,J
2018_2,R34,0,0,3,0,7,NA
2018_2,R35,4,0,1,0,6,NA
2018_2,R36,3,0,2,0,6,NA
2018_2,R38,2,0,5,0,20,NA
2018_2,G31,4,0,1,0,10,NA
2018_2,G32,5,0,0,0,6,NA
2018_2,G33,2,0,1,0,6,NA
2018_2,G34,4,0,1,0,10,NA
2018_2,E31,1,0,0,0,4,NA
2018_2,E32,2,0,8,0,8,NA
2018_2,E36,1,0,1,0,12,NA
2018_2,E310,3,0,1,0,7,NA
2018_2,P310,1,0,0,0,6,J
2018_2,B31,1,0,2,0,22,J
2018_2,B33,7,0,1,0,27,J
2018_2,B34,1,0,3,0,39,J
2018_2,B38,5,0,5,0,25,J
2018_2,B39,4,0,0,0,29,J
2018_1,R41,10,0,2,0,7,H
2018_1,R42,2,0,1,0,6,H
2018_1,R45,2,0,2,0,4,H
2018_1,B43,2,0,1,0,10,J
2018_1,B48,1,0,1,0,20,J+H
2018_1,B410,3,0,1,0,15,J+H
2018_1,R51,3,0,0,0,4,H
2018_1,R52,3,0,1,0,6,H
2018_1,R56,2,0,1,0,18,NA
2018_1,R510,0,0,1,0,12,H
2018_1,B51,1,0,0,0,12,J+H
2018_1,B510,5,0,1,0,32,J+H
2017_6,R11,0,0,0,0,-999,NA
2017_6,R12,0,0,0,0,-999,NA
2017_6,R14,0,0,0,0,-999,NA
2017_6,R17,0,0,0,0,-999,NA
2017_6,G14,0,0,0,0,-999,NA
2017_6,G15,0,0,0,0,-999,NA
2017_6,G16,0,0,0,0,-999,NA
2017_6,G17,0,0,0,0,-999,NA
2017_6,G18,0,0,0,0,-999,NA
2017_6,G110,0,0,0,0,-999,NA
2017_6,E13,0,0,0,0,-999,NA
2017_6,E14,0,0,0,0,-999,NA
2017_6,E19,0,0,0,0,-999,NA
2017_6,E110,0,0,0,0,-999,NA
2017_6,R22,0,0,0,0,-999,NA
2017_6,R24,0,0,0,0,-999,NA
2017_6,R26,0,0,0,0,-999,NA
2017_6,G21,0,0,0,0,-999,NA
2017_6,G210,0,0,0,0,-999,NA
2017_6,E21,0,0,0,0,-999,NA
2017_6,E23,0,0,0,0,-999,NA
2017_6,E24,0,0,0,0,-999,NA
2017_6,B21,0,0,0,0,-999,NA
2017_6,B23,0,0,0,0,-999,NA
2017_6,R34,0,0,0,0,-999,NA
2017_6,R35,0,0,0,0,-999,NA
2017_6,R36,0,0,0,0,-999,NA
2017_6,R38,0,0,0,0,-999,NA
2017_6,G31,0,0,0,0,-999,NA
2017_6,G32,0,0,0,0,-999,NA
2017_6,G33,0,0,0,0,-999,NA
2017_6,G34,0,0,0,0,-999,NA
2017_6,E31,0,0,0,0,-999,NA
2017_6,E32,0,0,0,0,-999,NA
2017_6,E36,0,0,0,0,-999,NA
2017_6,E310,0,0,0,0,-999,NA
2017_6,P310,0,0,0,0,-999,NA
2017_6,B31,0,0,0,0,-999,NA
2017_6,B33,0,0,0,0,-999,NA
2017_6,B34,0,0,0,0,-999,NA
2017_6,B38,0,0,0,0,-999,NA
2017_6,B39,0,0,0,0,-999,NA
2017_7,R41,0,0,0,0,-999,NA
2017_7,R42,0,0,0,0,-999,NA
2017_7,R45,0,0,0,0,-999,NA
2017_7,B43,0,0,0,0,-999,NA
2017_7,B48,0,0,0,0,-999,NA
2017_7,B410,0,0,0,0,-999,SENSOR OK
2017_7,R51,0,0,0,0,-999,NA
2017_7,R52,0,0,0,0,-999,NA
2017_7,R56,0,0,0,0,-999,NA
2017_7,R510,0,0,0,0,-999,SENSOR OK
2017_7,B51,0,0,0,0,-999,NA
2017_7,B510,0,0,0,0,-999,NA
