Date,Time,Temp (°C)  #9695081,Coupler Detached  #9695081,Coupler Attached  #9695081,Host Connected  #9695081,Bad Battery  #9695081,Good Battery  #9695081,End Of File  #9695081
08/05/17,04:24:54,7.569,,,,,,
08/05/17,05:24:54,7.268,,,,,,
08/05/17,06:24:54,6.965,,,,,,
08/05/17,07:24:54,6.813,,,,,,
08/05/17,08:24:54,6.940,,,,,,
08/05/17,09:24:54,7.268,,,,,,
08/05/17,10:24:54,7.720,,,,,,
08/05/17,11:24:54,8.519,,,,,,
08/05/17,12:24:54,9.583,,,,,,
08/05/17,13:24:54,10.687,,,,,,
08/05/17,14:24:54,21.437,,,,,,
08/05/17,15:24:54,30.394,,,,,,
08/05/17,16:24:54,32.175,,,,,,
08/05/17,17:24:54,30.596,,,,,,
08/05/17,18:24:54,25.817,,,,,,
08/05/17,19:24:54,20.936,,,,,,
08/05/17,20:24:54,15.008,,,,,,
08/05/17,21:24:54,12.437,,,,,,
08/05/17,22:24:54,11.224,,,,,,
08/05/17,23:24:54,10.075,,,,,,
09/05/17,00:24:54,10.051,,,,,,
09/05/17,01:24:54,9.952,,,,,,
09/05/17,02:24:54,9.879,,,,,,
09/05/17,03:24:54,9.706,,,,,,
09/05/17,04:24:54,9.682,,,,,,
09/05/17,05:24:54,9.706,,,,,,
09/05/17,06:24:54,9.706,,,,,,
09/05/17,07:24:54,9.558,,,,,,
09/05/17,08:24:54,9.410,,,,,,
09/05/17,09:24:54,9.780,,,,,,
09/05/17,10:24:54,9.731,,,,,,
09/05/17,11:24:54,10.492,,,,,,
09/05/17,12:24:54,11.370,,,,,,
09/05/17,13:24:54,13.497,,,,,,
09/05/17,14:24:54,21.700,,,,,,
09/05/17,15:24:54,29.190,,,,,,
09/05/17,16:24:54,30.066,,,,,,
09/05/17,17:24:54,29.715,,,,,,
09/05/17,18:24:54,25.283,,,,,,
09/05/17,19:24:54,19.270,,,,,,
09/05/17,20:24:54,13.738,,,,,,
09/05/17,21:24:54,12.558,,,,,,
09/05/17,22:24:54,10.883,,,,,,
09/05/17,23:24:54,10.320,,,,,,
