"Título de trazado: P4"
"N.º","Fecha","Tiempo, GMT+02:00","Temp, °C (LGR S/N: 9761966, SEN S/N: 9761966)","Acoplador separado (LGR S/N: 9761966)","Batería mala (LGR S/N: 9761966)","Batería buena (LGR S/N: 9761966)","Acoplador adjunto (LGR S/N: 9761966)","Host conectado (LGR S/N: 9761966)","Final de archivo (LGR S/N: 9761966)"
109,06/05/17,23:54:30,5.668,,,,,,
110,07/05/17,00:54:30,4.921,,,,,,
111,07/05/17,01:54:30,4.350,,,,,,
112,07/05/17,02:54:30,4.037,,,,,,
113,07/05/17,03:54:30,3.538,,,,,,
114,07/05/17,04:54:30,3.248,,,,,,
115,07/05/17,05:54:30,3.142,,,,,,
116,07/05/17,06:54:30,3.775,,,,,,
117,07/05/17,07:54:30,3.433,,,,,,
118,07/05/17,08:54:30,3.617,,,,,,
119,07/05/17,09:54:30,4.037,,,,,,
120,07/05/17,10:54:30,5.179,,,,,,
121,07/05/17,11:54:30,8.020,,,,,,
122,07/05/17,12:54:30,13.329,,,,,,
123,07/05/17,13:54:30,21.246,,,,,,
124,07/05/17,14:54:30,22.513,,,,,,
125,07/05/17,15:54:30,25.404,,,,,,
126,07/05/17,16:54:30,25.550,,,,,,
127,07/05/17,17:54:30,24.653,,,,,,
128,07/05/17,18:54:30,22.561,,,,,,
129,07/05/17,19:54:30,18.224,,,,,,
130,07/05/17,20:54:30,12.920,,,,,,
131,07/05/17,21:54:30,9.361,,,,,,
132,07/05/17,22:54:30,8.145,,,,,,
133,07/05/17,23:54:30,7.242,,,,,,
134,08/05/17,00:54:30,6.509,,,,,,
135,08/05/17,01:54:30,6.000,,,,,,
136,08/05/17,02:54:30,5.821,,,,,,
137,08/05/17,03:54:30,5.437,,,,,,
138,08/05/17,04:54:30,5.154,,,,,,
139,08/05/17,05:54:30,4.895,,,,,,
140,08/05/17,06:54:30,4.298,,,,,,
141,08/05/17,07:54:30,4.454,,,,,,
142,08/05/17,08:54:30,4.610,,,,,,
143,08/05/17,09:54:30,5.076,,,,,,
144,08/05/17,10:54:30,6.102,,,,,,
145,08/05/17,11:54:30,9.262,,,,,,
146,08/05/17,12:54:30,14.936,,,,,,
147,08/05/17,13:54:30,22.250,,,,,,
148,08/05/17,14:54:30,23.256,,,,,,
149,08/05/17,15:54:30,26.426,,,,,,
150,08/05/17,16:54:30,28.369,,,,,,
151,08/05/17,17:54:30,25.841,,,,,,
152,08/05/17,18:54:30,22.824,,,,,,
153,08/05/17,19:54:30,18.390,,,,,,
154,08/05/17,20:54:30,13.257,,,,,,
155,08/05/17,21:54:30,9.952,,,,,,
156,08/05/17,22:54:30,8.070,,,,,,
157,08/05/17,23:54:30,6.763,,,,,,
158,09/05/17,00:54:30,7.192,,,,,,
159,09/05/17,01:54:30,7.393,,,,,,
160,09/05/17,02:54:30,7.393,,,,,,
161,09/05/17,03:54:30,7.519,,,,,,
162,09/05/17,04:54:30,7.745,,,,,,
163,09/05/17,05:54:30,7.845,,,,,,
164,09/05/17,06:54:30,7.419,,,,,,
165,09/05/17,07:54:30,7.720,,,,,,
166,09/05/17,08:54:30,7.318,,,,,,
167,09/05/17,09:54:30,7.845,,,,,,
168,09/05/17,10:54:30,8.717,,,,,,
169,09/05/17,11:54:30,11.565,,,,,,
170,09/05/17,12:54:30,16.082,,,,,,
171,09/05/17,13:54:30,22.633,,,,,,
172,09/05/17,14:54:30,23.569,,,,,,
173,09/05/17,15:54:30,24.823,,,,,,
174,09/05/17,16:54:30,27.579,,,,,,
175,09/05/17,17:54:30,25.331,,,,,,
176,09/05/17,18:54:30,22.274,,,,,,
177,09/05/17,19:54:30,16.415,,,,,,
178,09/05/17,20:54:30,12.534,,,,,,
179,09/05/17,21:54:30,10.785,,,,,,
180,09/05/17,22:54:30,7.945,,,,,,
181,09/05/17,23:54:30,6.763,,,,,,
182,10/05/17,00:54:30,6.230,,,,,,
183,10/05/17,01:54:30,5.719,,,,,,
184,10/05/17,02:54:30,5.462,,,,,,
185,10/05/17,03:54:30,5.591,,,,,,
186,10/05/17,04:54:30,5.642,,,,,,
187,10/05/17,05:54:30,6.255,,,,,,
188,10/05/17,06:54:30,6.864,,,,,,
189,10/05/17,07:54:30,7.268,,,,,,
190,10/05/17,08:54:30,7.619,,,,,,
191,10/05/17,09:54:30,8.519,,,,,,
192,10/05/17,10:54:30,11.102,,,,,,
193,10/05/17,11:54:30,12.074,,,,,,
194,10/05/17,12:54:30,16.630,,,,,,
195,10/05/17,13:54:30,22.968,,,,,,
196,10/05/17,14:54:30,23.809,,,,,,
197,10/05/17,15:54:30,24.122,,,,,,
198,10/05/17,16:54:30,21.748,,,,,,
199,10/05/17,17:54:30,17.439,,,,,,
200,10/05/17,18:54:30,14.026,,,,,,
201,10/05/17,19:54:30,11.467,,,,,,
202,10/05/17,20:54:30,9.410,,,,,,
203,10/05/17,21:54:30,7.745,,,,,,
204,10/05/17,22:54:30,6.737,,,,,,
205,10/05/17,23:54:30,6.306,,,,,,
206,11/05/17,00:54:30,7.167,,,,,,
207,11/05/17,01:54:30,7.393,,,,,,
208,11/05/17,02:54:30,7.015,,,,,,
209,11/05/17,03:54:30,7.116,,,,,,
210,11/05/17,04:54:30,6.763,,,,,,
211,11/05/17,05:54:30,5.719,,,,,,
212,11/05/17,06:54:30,5.179,,,,,,
213,11/05/17,07:54:30,5.231,,,,,,
214,11/05/17,08:54:30,5.257,,,,,,
215,11/05/17,09:54:30,6.026,,,,,,
216,11/05/17,10:54:30,5.642,,,,,,
217,11/05/17,11:54:30,8.419,,,,,,
