Date,Time,Temp (°C)  #9761922,Coupler Detached  #9761922,Coupler Attached  #9761922,Host Connected  #9761922,End Of File  #9761922
21/04/17,10:16:28,24.702,,,,
21/04/17,10:16:38,,Logged,,,
21/04/17,11:16:28,26.256,,,,
21/04/17,11:21:30,,,Logged,,
21/04/17,11:21:37,,,,Logged,
21/04/17,11:22:43,,Logged,,,
21/04/17,11:52:01,,,Logged,Logged,
21/04/17,11:52:12,,Logged,,,
21/04/17,12:16:28,24.726,,,,
21/04/17,13:16:28,24.291,,,,
21/04/17,14:16:28,24.968,,,,
21/04/17,15:16:28,25.065,,,,
21/04/17,16:16:28,25.137,,,,
21/04/17,17:16:28,25.234,,,,
21/04/17,18:16:28,25.307,,,,
21/04/17,19:16:28,25.258,,,,
21/04/17,20:16:28,25.307,,,,
21/04/17,21:16:28,25.162,,,,
21/04/17,22:16:28,24.581,,,,
21/04/17,23:16:28,24.195,,,,
22/04/17,00:16:28,23.954,,,,
22/04/17,01:16:28,23.737,,,,
22/04/17,02:16:28,23.569,,,,
22/04/17,03:16:28,23.424,,,,
22/04/17,04:16:28,23.280,,,,
22/04/17,05:16:28,23.136,,,,
22/04/17,06:16:28,23.016,,,,
22/04/17,07:16:28,22.872,,,,
22/04/17,08:16:28,22.800,,,,
22/04/17,09:16:28,23.256,,,,
22/04/17,10:16:28,23.448,,,,
22/04/17,11:16:28,23.785,,,,
22/04/17,12:16:28,24.002,,,,
22/04/17,13:16:28,24.219,,,,
22/04/17,14:16:28,24.412,,,,
22/04/17,15:16:28,24.532,,,,
22/04/17,16:16:28,24.702,,,,
22/04/17,17:16:28,24.944,,,,
22/04/17,18:16:28,24.968,,,,
22/04/17,19:16:28,24.968,,,,
22/04/17,20:16:28,24.823,,,,
22/04/17,21:16:28,24.532,,,,
22/04/17,22:16:28,24.291,,,,
22/04/17,23:16:28,24.098,,,,
23/04/17,00:16:28,23.954,,,,
23/04/17,01:16:28,23.833,,,,
23/04/17,02:16:28,23.713,,,,
23/04/17,03:16:28,23.569,,,,
23/04/17,04:16:28,23.424,,,,
23/04/17,05:16:28,23.328,,,,
23/04/17,06:16:28,23.232,,,,
23/04/17,07:16:28,23.136,,,,
23/04/17,08:16:28,23.088,,,,
23/04/17,09:16:28,23.208,,,,
23/04/17,10:16:28,23.569,,,,
23/04/17,11:16:28,23.978,,,,
23/04/17,12:16:28,24.267,,,,
23/04/17,13:16:28,24.532,,,,
23/04/17,14:16:28,24.702,,,,
23/04/17,15:16:28,24.798,,,,
23/04/17,16:16:28,24.944,,,,
23/04/17,17:16:28,25.162,,,,
23/04/17,18:16:28,25.258,,,,
23/04/17,19:16:28,25.186,,,,
23/04/17,20:16:28,24.968,,,,
23/04/17,21:16:28,24.677,,,,
23/04/17,22:16:28,24.412,,,,
23/04/17,23:16:28,24.195,,,,
24/04/17,00:16:28,24.050,,,,
24/04/17,01:16:28,23.930,,,,
24/04/17,02:16:28,23.785,,,,
24/04/17,03:16:28,23.665,,,,
24/04/17,04:16:28,23.521,,,,
24/04/17,05:16:28,23.400,,,,
24/04/17,06:16:28,23.280,,,,
24/04/17,07:16:28,23.424,,,,
24/04/17,08:16:28,21.032,,,,
24/04/17,09:16:28,20.603,,,,
24/04/17,10:16:28,20.293,,,,
24/04/17,11:16:28,19.912,,,,
24/04/17,12:16:28,19.175,,,,
24/04/17,13:16:28,20.841,,,,
24/04/17,14:16:28,23.593,,,,
24/04/17,15:16:28,10.100,,,,
24/04/17,16:16:28,8.519,,,,
24/04/17,17:16:28,9.509,,,,
24/04/17,18:16:28,9.903,,,,
24/04/17,19:16:28,8.195,,,,
24/04/17,20:16:28,7.368,,,,
24/04/17,21:16:28,7.015,,,,
24/04/17,22:16:28,6.687,,,,
24/04/17,23:16:28,6.433,,,,
25/04/17,00:16:28,6.153,,,,
25/04/17,01:16:28,6.000,,,,
25/04/17,02:16:28,5.898,,,,
25/04/17,03:16:28,5.334,,,,
25/04/17,04:16:28,5.282,,,,
25/04/17,05:16:28,5.282,,,,
25/04/17,06:16:28,5.385,,,,
25/04/17,07:16:28,5.462,,,,
25/04/17,08:16:28,5.385,,,,
25/04/17,09:16:28,4.818,,,,
25/04/17,10:16:28,5.076,,,,
25/04/17,11:16:28,5.539,,,,
25/04/17,12:16:28,6.509,,,,
25/04/17,13:16:28,7.469,,,,
25/04/17,14:16:28,7.895,,,,
25/04/17,15:16:28,8.344,,,,
25/04/17,16:16:28,13.377,,,,
25/04/17,17:16:28,15.247,,,,
25/04/17,18:16:28,13.810,,,,
25/04/17,19:16:28,12.703,,,,
25/04/17,20:16:28,9.682,,,,
25/04/17,21:16:28,7.645,,,,
25/04/17,22:16:28,6.408,,,,
25/04/17,23:16:28,5.719,,,,
26/04/17,00:16:28,5.179,,,,
26/04/17,01:16:28,5.076,,,,
26/04/17,02:16:28,4.921,,,,
26/04/17,03:16:28,4.921,,,,
26/04/17,04:16:28,4.662,,,,
26/04/17,05:16:28,4.350,,,,
26/04/17,06:16:28,4.089,,,,
26/04/17,07:16:28,4.246,,,,
26/04/17,08:16:28,4.298,,,,
26/04/17,09:16:28,4.506,,,,
26/04/17,10:16:28,5.050,,,,
26/04/17,11:16:28,5.616,,,,
26/04/17,12:16:28,6.204,,,,
26/04/17,13:16:28,6.965,,,,
26/04/17,14:16:28,7.318,,,,
26/04/17,15:16:28,9.336,,,,
26/04/17,16:16:28,12.025,,,,
26/04/17,17:16:28,12.050,,,,
26/04/17,18:16:28,13.690,,,,
26/04/17,19:16:28,10.785,,,,
26/04/17,20:16:28,9.879,,,,
26/04/17,21:16:28,7.795,,,,
26/04/17,22:16:28,6.813,,,,
26/04/17,23:16:28,6.179,,,,
27/04/17,00:16:28,5.821,,,,
27/04/17,01:16:28,5.514,,,,
27/04/17,02:16:28,5.488,,,,
27/04/17,03:16:28,5.642,,,,
27/04/17,04:16:28,5.565,,,,
27/04/17,05:16:28,5.514,,,,
27/04/17,06:16:28,5.360,,,,
27/04/17,07:16:28,5.334,,,,
27/04/17,08:16:28,5.231,,,,
27/04/17,09:16:28,5.462,,,,
27/04/17,10:16:28,6.585,,,,
27/04/17,11:16:28,6.990,,,,
27/04/17,12:16:28,8.519,,,,
27/04/17,13:16:28,10.124,,,,
27/04/17,14:16:28,10.541,,,,
27/04/17,15:16:28,9.262,,,,
27/04/17,16:16:28,8.568,,,,
27/04/17,17:16:28,7.015,,,,
27/04/17,18:16:28,6.560,,,,
27/04/17,19:16:28,6.408,,,,
