"Título de trazado: Px-1"
"N.º","Fecha","Tiempo, GMT+02:00","Temp, °C (LGR S/N: 9761922, SEN S/N: 9761922)","Acoplador separado (LGR S/N: 9761922)","Acoplador adjunto (LGR S/N: 9761922)","Host conectado (LGR S/N: 9761922)","Final de archivo (LGR S/N: 9761922)"
1,21/04/17,10:16:28,24.702,,,,
2,21/04/17,10:16:38,,Registrado,,,
3,21/04/17,11:16:28,26.256,,,,
4,21/04/17,11:21:30,,,Registrado,,
5,21/04/17,11:21:37,,,,Registrado,
6,21/04/17,11:22:43,,Registrado,,,
7,21/04/17,11:52:01,,,Registrado,Registrado,
8,21/04/17,11:52:12,,Registrado,,,
9,21/04/17,12:16:28,24.726,,,,
10,21/04/17,13:16:28,24.291,,,,
11,21/04/17,14:16:28,24.968,,,,
12,21/04/17,15:16:28,25.065,,,,
13,21/04/17,16:16:28,25.137,,,,
14,21/04/17,17:16:28,25.234,,,,
15,21/04/17,18:16:28,25.307,,,,
16,21/04/17,19:16:28,25.258,,,,
17,21/04/17,20:16:28,25.307,,,,
18,21/04/17,21:16:28,25.162,,,,
19,21/04/17,22:16:28,24.581,,,,
20,21/04/17,23:16:28,24.195,,,,
21,22/04/17,00:16:28,23.954,,,,
22,22/04/17,01:16:28,23.737,,,,
23,22/04/17,02:16:28,23.569,,,,
24,22/04/17,03:16:28,23.424,,,,
25,22/04/17,04:16:28,23.280,,,,
26,22/04/17,05:16:28,23.136,,,,
27,22/04/17,06:16:28,23.016,,,,
28,22/04/17,07:16:28,22.872,,,,
29,22/04/17,08:16:28,22.800,,,,
30,22/04/17,09:16:28,23.256,,,,
31,22/04/17,10:16:28,23.448,,,,
32,22/04/17,11:16:28,23.785,,,,
33,22/04/17,12:16:28,24.002,,,,
34,22/04/17,13:16:28,24.219,,,,
35,22/04/17,14:16:28,24.412,,,,
36,22/04/17,15:16:28,24.532,,,,
37,22/04/17,16:16:28,24.702,,,,
38,22/04/17,17:16:28,24.944,,,,
39,22/04/17,18:16:28,24.968,,,,
40,22/04/17,19:16:28,24.968,,,,
41,22/04/17,20:16:28,24.823,,,,
42,22/04/17,21:16:28,24.532,,,,
43,22/04/17,22:16:28,24.291,,,,
44,22/04/17,23:16:28,24.098,,,,
45,23/04/17,00:16:28,23.954,,,,
46,23/04/17,01:16:28,23.833,,,,
47,23/04/17,02:16:28,23.713,,,,
