Date,Time,Temp (°C)  #9772574,Coupler Detached  #9772574,Coupler Attached  #9772574,Host Connected  #9772574,Bad Battery  #9772574,Good Battery  #9772574,End Of File  #9772574
02/05/17,12:30:23,24.002,,,,,,
02/05/17,12:30:34,,Logged,,,,,
02/05/17,12:52:11,,,Logged,Logged,,,
02/05/17,12:52:21,,Logged,,,,,
02/05/17,13:30:23,24.484,,,,,,
02/05/17,14:30:23,25.210,,,,,,
02/05/17,15:30:23,25.162,,,,,,
02/05/17,16:30:23,25.331,,,,,,
02/05/17,17:30:23,25.234,,,,,,
02/05/17,18:30:23,24.895,,,,,,
02/05/17,19:30:23,24.605,,,,,,
02/05/17,20:30:23,24.339,,,,,,
02/05/17,21:30:23,24.002,,,,,,
02/05/17,22:30:23,23.689,,,,,,
02/05/17,23:30:23,23.448,,,,,,
03/05/17,00:30:23,23.256,,,,,,
03/05/17,01:30:23,23.088,,,,,,
03/05/17,02:30:23,22.920,,,,,,
03/05/17,03:30:23,22.800,,,,,,
03/05/17,04:30:23,22.633,,,,,,
03/05/17,05:30:23,22.513,,,,,,
03/05/17,06:30:23,22.369,,,,,,
03/05/17,07:30:23,22.250,,,,,,
03/05/17,08:30:23,22.537,,,,,,
03/05/17,09:30:23,21.867,,,,,,
03/05/17,10:30:23,21.604,,,,,,
03/05/17,11:30:23,27.776,,,,,,
03/05/17,12:30:23,23.280,,,,,,
03/05/17,13:30:23,29.890,,,,,,
03/05/17,14:30:23,27.407,,,,,,
03/05/17,15:30:23,31.970,,,,,,
03/05/17,16:30:23,27.112,,,,,,
03/05/17,17:30:23,28.617,,,,,,
03/05/17,18:30:23,25.987,,,,,,
03/05/17,19:30:23,25.040,,,,,,
03/05/17,20:30:23,24.581,,,,,,
03/05/17,21:30:23,24.171,,,,,,
03/05/17,22:30:23,23.881,,,,,,
03/05/17,23:30:23,23.641,,,,,,
04/05/17,00:30:23,23.424,,,,,,
04/05/17,01:30:23,23.256,,,,,,
04/05/17,02:30:23,23.088,,,,,,
04/05/17,03:30:23,22.920,,,,,,
04/05/17,04:30:23,22.776,,,,,,
04/05/17,05:30:23,22.609,,,,,,
04/05/17,06:30:23,22.513,,,,,,
04/05/17,07:30:23,22.417,,,,,,
04/05/17,08:30:23,22.681,,,,,,
04/05/17,09:30:23,22.920,,,,,,
04/05/17,10:30:23,23.617,,,,,,
04/05/17,11:30:23,24.702,,,,,,
04/05/17,12:30:23,25.307,,,,,,
04/05/17,13:30:23,25.525,,,,,,
04/05/17,14:30:23,25.939,,,,,,
04/05/17,15:30:23,25.841,,,,,,
04/05/17,16:30:23,25.331,,,,,,
04/05/17,17:30:23,25.234,,,,,,
04/05/17,18:30:23,25.210,,,,,,
04/05/17,19:30:23,25.137,,,,,,
04/05/17,20:30:23,24.919,,,,,,
04/05/17,21:30:23,24.677,,,,,,
04/05/17,22:30:23,24.484,,,,,,
04/05/17,23:30:23,24.291,,,,,,
05/05/17,00:30:23,24.122,,,,,,
05/05/17,01:30:23,23.978,,,,,,
05/05/17,02:30:23,23.857,,,,,,
05/05/17,03:30:23,23.737,,,,,,
05/05/17,04:30:23,23.641,,,,,,
05/05/17,05:30:23,23.569,,,,,,
05/05/17,06:30:23,23.472,,,,,,
05/05/17,07:30:23,23.376,,,,,,
05/05/17,08:30:23,23.472,,,,,,
05/05/17,09:30:23,23.978,,,,,,
05/05/17,10:30:23,23.136,,,,,,
05/05/17,11:30:23,20.936,,,,,,
05/05/17,12:30:23,39.093,,,,,,
05/05/17,13:30:23,23.689,,,,,,
05/05/17,14:30:23,17.153,,,,,,
05/05/17,15:30:23,17.843,,,,,,
05/05/17,16:30:23,19.484,,,,,,
05/05/17,17:30:23,18.176,,,,,,
05/05/17,18:30:23,13.642,,,,,,
05/05/17,19:30:23,12.001,,,,,,
05/05/17,20:30:23,10.100,,,,,,
05/05/17,21:30:23,9.238,,,,,,
05/05/17,22:30:23,8.145,,,,,,
05/05/17,23:30:23,7.066,,,,,,
06/05/17,00:30:23,6.230,,,,,,
06/05/17,01:30:23,5.975,,,,,,
06/05/17,02:30:23,5.565,,,,,,
06/05/17,03:30:23,4.869,,,,,,
06/05/17,04:30:23,4.428,,,,,,
06/05/17,05:30:23,3.906,,,,,,
06/05/17,06:30:23,3.354,,,,,,
06/05/17,07:30:23,3.195,,,,,,
06/05/17,08:30:23,3.301,,,,,,
06/05/17,09:30:23,8.295,,,,,,
06/05/17,10:30:23,13.570,,,,,,
06/05/17,11:30:23,17.415,,,,,,
06/05/17,12:30:23,20.841,,,,,,
06/05/17,13:30:23,23.184,,,,,,
06/05/17,14:30:23,24.919,,,,,,
06/05/17,15:30:23,25.137,,,,,,
06/05/17,16:30:23,24.460,,,,,,
06/05/17,17:30:23,22.321,,,,,,
06/05/17,18:30:23,17.272,,,,,,
06/05/17,19:30:23,14.601,,,,,,
06/05/17,20:30:23,11.516,,,,,,
06/05/17,21:30:23,9.238,,,,,,
06/05/17,22:30:23,8.120,,,,,,
06/05/17,23:30:23,7.242,,,,,,
07/05/17,00:30:23,6.560,,,,,,
07/05/17,01:30:23,5.924,,,,,,
07/05/17,02:30:23,5.488,,,,,,
07/05/17,03:30:23,4.947,,,,,,
07/05/17,04:30:23,4.506,,,,,,
07/05/17,05:30:23,4.089,,,,,,
07/05/17,06:30:23,4.376,,,,,,
07/05/17,07:30:23,4.194,,,,,,
07/05/17,08:30:23,4.766,,,,,,
07/05/17,09:30:23,10.075,,,,,,
07/05/17,10:30:23,15.700,,,,,,
07/05/17,11:30:23,19.579,,,,,,
07/05/17,12:30:23,23.040,,,,,,
07/05/17,13:30:23,25.525,,,,,,
07/05/17,14:30:23,26.940,,,,,,
07/05/17,15:30:23,27.112,,,,,,
07/05/17,16:30:23,22.321,,,,,,
07/05/17,17:30:23,23.376,,,,,,
07/05/17,18:30:23,19.151,,,,,,
07/05/17,19:30:23,15.867,,,,,,
07/05/17,20:30:23,12.606,,,,,,
07/05/17,21:30:23,10.663,,,,,,
07/05/17,22:30:23,9.509,,,,,,
07/05/17,23:30:23,8.767,,,,,,
08/05/17,00:30:23,8.120,,,,,,
08/05/17,01:30:23,7.695,,,,,,
08/05/17,02:30:23,7.242,,,,,,
08/05/17,03:30:23,6.687,,,,,,
08/05/17,04:30:23,6.255,,,,,,
08/05/17,05:30:23,5.821,,,,,,
08/05/17,06:30:23,5.360,,,,,,
08/05/17,07:30:23,5.282,,,,,,
08/05/17,08:30:23,5.539,,,,,,
08/05/17,09:30:23,11.273,,,,,,
08/05/17,10:30:23,16.892,,,,,,
08/05/17,11:30:23,20.841,,,,,,
08/05/17,12:30:23,24.363,,,,,,
08/05/17,13:30:23,26.598,,,,,,
08/05/17,14:30:23,27.924,,,,,,
08/05/17,15:30:23,27.063,,,,,,
08/05/17,16:30:23,26.207,,,,,,
08/05/17,17:30:23,23.713,,,,,,
08/05/17,18:30:23,19.270,,,,,,
08/05/17,19:30:23,16.177,,,,,,
08/05/17,20:30:23,12.920,,,,,,
08/05/17,21:30:23,10.932,,,,,,
08/05/17,22:30:23,9.756,,,,,,
08/05/17,23:30:23,8.668,,,,,,
09/05/17,00:30:23,8.767,,,,,,
09/05/17,01:30:23,8.643,,,,,,
09/05/17,02:30:23,8.494,,,,,,
09/05/17,03:30:23,8.419,,,,,,
09/05/17,04:30:23,8.419,,,,,,
09/05/17,05:30:23,8.519,,,,,,
09/05/17,06:30:23,8.394,,,,,,
09/05/17,07:30:23,8.369,,,,,,
09/05/17,08:30:23,8.270,,,,,,
09/05/17,09:30:23,12.823,,,,,,
09/05/17,10:30:23,18.129,,,,,,
09/05/17,11:30:23,21.652,,,,,,
09/05/17,12:30:23,24.702,,,,,,
09/05/17,13:30:23,24.871,,,,,,
09/05/17,14:30:23,26.109,,,,,,
09/05/17,15:30:23,26.207,,,,,,
09/05/17,16:30:23,25.355,,,,,,
09/05/17,17:30:23,23.016,,,,,,
09/05/17,18:30:23,19.199,,,,,,
09/05/17,19:30:23,15.652,,,,,,
09/05/17,20:30:23,12.654,,,,,,
09/05/17,21:30:23,11.783,,,,,,
09/05/17,22:30:23,10.075,,,,,,
09/05/17,23:30:23,9.410,,,,,,
10/05/17,00:30:23,8.369,,,,,,
10/05/17,01:30:23,7.820,,,,,,
10/05/17,02:30:23,7.393,,,,,,
10/05/17,03:30:23,7.015,,,,,,
10/05/17,04:30:23,6.737,,,,,,
10/05/17,05:30:23,6.889,,,,,,
10/05/17,06:30:23,7.569,,,,,,
10/05/17,07:30:23,8.095,,,,,,
10/05/17,08:30:23,8.643,,,,,,
10/05/17,09:30:23,11.686,,,,,,
10/05/17,10:30:23,16.249,,,,,,
10/05/17,11:30:23,20.365,,,,,,
10/05/17,12:30:23,24.677,,,,,,
10/05/17,13:30:23,27.014,,,,,,
10/05/17,14:30:23,26.793,,,,,,
10/05/17,15:30:23,24.919,,,,,,
10/05/17,16:30:23,21.843,,,,,,
10/05/17,17:30:23,19.199,,,,,,
10/05/17,18:30:23,15.986,,,,,,
10/05/17,19:30:23,13.738,,,,,,
10/05/17,20:30:23,11.662,,,,,,
10/05/17,21:30:23,9.534,,,,,,
10/05/17,22:30:23,8.369,,,,,,
10/05/17,23:30:23,7.619,,,,,,
11/05/17,00:30:23,8.494,,,,,,
11/05/17,01:30:23,8.618,,,,,,
11/05/17,02:30:23,7.720,,,,,,
11/05/17,03:30:23,6.940,,,,,,
11/05/17,04:30:23,6.585,,,,,,
11/05/17,05:30:23,5.872,,,,,,
11/05/17,06:30:23,5.719,,,,,,
11/05/17,07:30:23,5.949,,,,,,
11/05/17,08:30:23,5.924,,,,,,
11/05/17,09:30:23,6.408,,,,,,
11/05/17,10:30:23,10.810,,,,,,
11/05/17,11:30:23,14.218,,,,,,
11/05/17,12:30:23,12.678,,,,,,
11/05/17,13:30:23,12.871,,,,,,
11/05/17,14:30:23,10.492,,,,,,
11/05/17,15:30:23,8.568,,,,,,
11/05/17,16:30:23,9.485,,,,,,
11/05/17,17:30:23,8.170,,,,,,
11/05/17,18:30:23,8.195,,,,,,
11/05/17,19:30:23,6.889,,,,,,
11/05/17,20:30:23,6.382,,,,,,
11/05/17,21:30:23,4.272,,,,,,
11/05/17,22:30:23,4.298,,,,,,
11/05/17,23:30:23,4.089,,,,,,
12/05/17,00:30:23,4.037,,,,,,
12/05/17,01:30:23,3.801,,,,,,
12/05/17,02:30:23,3.932,,,,,,
12/05/17,03:30:23,4.324,,,,,,
12/05/17,04:30:23,3.354,,,,,,
12/05/17,05:30:23,2.770,,,,,,
12/05/17,06:30:23,3.274,,,,,,
12/05/17,07:30:23,3.670,,,,,,
12/05/17,08:30:23,4.766,,,,,,
12/05/17,09:30:23,5.539,,,,,,
12/05/17,10:30:23,8.070,,,,,,
12/05/17,11:30:23,8.469,,,,,,
12/05/17,12:30:23,9.731,,,,,,
12/05/17,13:30:23,10.858,,,,,,
12/05/17,14:30:23,9.410,,,,,,
12/05/17,15:30:23,10.051,,,,,,
12/05/17,16:30:23,9.139,,,,,,
12/05/17,17:30:23,9.952,,,,,,
12/05/17,18:30:23,8.419,,,,,,
12/05/17,19:30:23,7.745,,,,,,
12/05/17,20:30:23,7.167,,,,,,
12/05/17,21:30:23,6.737,,,,,,
12/05/17,22:30:23,6.458,,,,,,
12/05/17,23:30:23,5.102,,,,,,
13/05/17,00:30:23,4.558,,,,,,
13/05/17,01:30:23,4.272,,,,,,
13/05/17,02:30:23,3.985,,,,,,
13/05/17,03:30:23,4.115,,,,,,
13/05/17,04:30:23,2.930,,,,,,
