Date,Time,Temp (°C)  #9695077,Coupler Detached  #9695077,Bad Battery  #9695077,Coupler Attached  #9695077,Host Connected  #9695077,End Of File  #9695077
02/05/17,12:55:01,25.598,,,,,
02/05/17,12:55:16,,Logged,,,,
02/05/17,13:55:01,24.653,,,,,
02/05/17,14:55:01,24.750,,,,,
02/05/17,15:55:01,24.750,,,,,
02/05/17,16:55:01,24.847,,,,,
02/05/17,17:55:01,24.750,,,,,
02/05/17,18:55:01,24.484,,,,,
02/05/17,19:55:01,24.267,,,,,
02/05/17,20:55:01,24.002,,,,,
02/05/17,21:55:01,23.713,,,,,
02/05/17,22:55:01,23.472,,,,,
02/05/17,23:55:01,23.232,,,,,
03/05/17,00:55:01,23.040,,,,,
03/05/17,01:55:01,22.896,,,,,
03/05/17,02:55:01,22.753,,,,,
03/05/17,03:55:01,22.609,,,,,
03/05/17,04:55:01,22.465,,,,,
03/05/17,05:55:01,22.321,,,,,
03/05/17,06:55:01,22.202,,,,,
03/05/17,07:55:01,22.130,,,,,
03/05/17,08:55:01,22.082,,,,,
03/05/17,09:55:01,20.698,,,,,
03/05/17,10:55:01,20.650,,,,,
03/05/17,11:55:01,24.629,,,,,
03/05/17,12:55:01,26.256,,,,,
03/05/17,13:55:01,16.249,,,,,
03/05/17,14:55:01,18.390,,,,,
03/05/17,15:55:01,19.080,,,,,
03/05/17,16:55:01,18.176,,,,,
03/05/17,17:55:01,17.391,,,,,
03/05/17,18:55:01,15.939,,,,,
03/05/17,19:55:01,14.697,,,,,
03/05/17,20:55:01,12.316,,,,,
03/05/17,21:55:01,9.706,,,,,
03/05/17,22:55:01,8.344,,,,,
03/05/17,23:55:01,7.594,,,,,
04/05/17,00:55:01,7.142,,,,,
04/05/17,01:55:01,6.839,,,,,
04/05/17,02:55:01,6.687,,,,,
04/05/17,03:55:01,6.458,,,,,
04/05/17,04:55:01,6.458,,,,,
04/05/17,05:55:01,6.433,,,,,
04/05/17,06:55:01,6.357,,,,,
04/05/17,07:55:01,6.255,,,,,
04/05/17,08:55:01,6.509,,,,,
04/05/17,09:55:01,6.990,,,,,
04/05/17,10:55:01,8.792,,,,,
04/05/17,11:55:01,13.522,,,,,
04/05/17,12:55:01,14.984,,,,,
04/05/17,13:55:01,14.194,,,,,
04/05/17,14:55:01,16.677,,,,,
04/05/17,15:55:01,17.177,,,,,
04/05/17,16:55:01,18.152,,,,,
04/05/17,17:55:01,17.843,,,,,
04/05/17,18:55:01,16.153,,,,,
04/05/17,19:55:01,14.122,,,,,
04/05/17,20:55:01,12.025,,,,,
04/05/17,21:55:01,10.785,,,,,
04/05/17,22:55:01,9.952,,,,,
04/05/17,23:55:01,9.435,,,,,
05/05/17,00:55:01,9.213,,,,,
05/05/17,01:55:01,9.213,,,,,
05/05/17,02:55:01,9.089,,,,,
