date,idHobo,idJaula,bateria,memoria,status,obs
31/07/2018,P27,P110,60,25,OK,descarga datos ver hobo_raw files
31/07/2018,P21,R110,80,25,OK,descarga datos ver hobo_raw files
31/07/2018,P66,B101,1,25,OK,descarga datos ver hobo_raw files
31/07/2018,P4,E110,93,25,OK,descarga datos ver hobo_raw files
31/07/2018,LANP33,G110,86,25,OK,descarga datos ver hobo_raw files
02/08/2018,P33,P508,80,26,OK,descarga datos ver hobo_raw files
02/08/2018,PX1,R510,86,26,OK,descarga datos ver hobo_raw files
02/08/2018,P39,B504,86,26,OK,descarga datos ver hobo_raw files
02/08/2018,P22,B410,60,26,OK,descarga datos ver hobo_raw files
02/08/2018,P43,R403,80,25,OK,descarga datos ver hobo_raw files
02/08/2018,P26,P404,NA,NA,FAIL,No se pudo descargar datos // No se leía el hobo
03/08/2018,P35,P309,39,25,OK,descarga datos ver hobo_raw files
03/08/2018,P24,E308,60,25,OK,descarga datos ver hobo_raw files
03/08/2018,LANP31,G307,80,25,OK,descarga datos ver hobo_raw files
03/08/2018,LANP32,R310,73,25,OK,descarga datos ver hobo_raw files
03/08/2018,P47,B310,NA,NA,NOT FOUND,No se encuentra el sensor 
22/05/2019,P33,P508,60,42,OK,descarga datos ver hobo_raw files
22/05/2019,PX1,R510,53,42,OK,descarga datos ver hobo_raw files
22/05/2019,P39,B504,60,42,OK,descarga datos ver hobo_raw files
22/05/2019,P22,B410,53,42,OK,descarga datos ver hobo_raw files
22/05/2019,P43,R403,NA,NA,OK,descarga datos ver hobo_raw files
22/05/2019,BER_01,P404,NA,NA,OK,Se instala en sustitucion del hobo P26
