station_id,month,prec
27,1955-03-01T00:00:00Z,4.2
27,1955-04-01T00:00:00Z,58.7
27,1955-05-01T00:00:00Z,0
27,1955-06-01T00:00:00Z,55
27,1955-07-01T00:00:00Z,7.5
27,1955-08-01T00:00:00Z,0
27,1955-09-01T00:00:00Z,32.8
27,1955-10-01T00:00:00Z,134.3
27,1955-11-01T00:00:00Z,96.8
27,1955-12-01T00:00:00Z,337.1
27,1956-01-01T00:00:00Z,113.8
27,1956-02-01T00:00:00Z,75.60000000000001
27,1956-03-01T00:00:00Z,385.2
27,1956-04-01T00:00:00Z,323.8
27,1956-05-01T00:00:00Z,10.8
27,1956-06-01T00:00:00Z,2.1
27,1956-07-01T00:00:00Z,17
27,1956-08-01T00:00:00Z,5.4
27,1956-09-01T00:00:00Z,107
27,1956-10-01T00:00:00Z,14.8
27,1956-11-01T00:00:00Z,30.3
27,1956-12-01T00:00:00Z,78.2
27,1957-01-01T00:00:00Z,66.2
27,1957-02-01T00:00:00Z,150
27,1957-03-01T00:00:00Z,137.9
27,1957-04-01T00:00:00Z,158.3
27,1957-05-01T00:00:00Z,371
27,1957-06-01T00:00:00Z,59.5
27,1957-07-01T00:00:00Z,0
27,1957-08-01T00:00:00Z,0
27,1957-09-01T00:00:00Z,5.1
27,1957-10-01T00:00:00Z,124.4
27,1957-11-01T00:00:00Z,341.6
27,1957-12-01T00:00:00Z,173.4
27,1958-02-01T00:00:00Z,93.7
27,1958-03-01T00:00:00Z,288.1
27,1958-04-01T00:00:00Z,174.2
27,1958-05-01T00:00:00Z,64
27,1958-06-01T00:00:00Z,13
27,1958-07-01T00:00:00Z,0
27,1958-08-01T00:00:00Z,1
27,1958-12-01T00:00:00Z,744.7
27,1959-05-01T00:00:00Z,269.8
27,1962-01-01T00:00:00Z,54
27,1962-02-01T00:00:00Z,39
27,1962-03-01T00:00:00Z,163
27,1962-04-01T00:00:00Z,93
27,1962-05-01T00:00:00Z,61
27,1962-06-01T00:00:00Z,27
27,1962-07-01T00:00:00Z,0
27,1962-09-01T00:00:00Z,60
27,1962-10-01T00:00:00Z,289
27,1962-11-01T00:00:00Z,234
27,1963-01-01T00:00:00Z,341
27,1963-04-01T00:00:00Z,294
27,1963-06-01T00:00:00Z,112
27,1963-07-01T00:00:00Z,37
27,1963-08-01T00:00:00Z,0
27,1963-09-01T00:00:00Z,113
27,1963-10-01T00:00:00Z,33
27,1963-11-01T00:00:00Z,279
27,1963-12-01T00:00:00Z,597
27,1964-02-01T00:00:00Z,441
27,1964-03-01T00:00:00Z,274
27,1964-04-01T00:00:00Z,38.1
27,1964-05-01T00:00:00Z,104
27,1967-11-01T00:00:00Z,194
27,1967-12-01T00:00:00Z,20
27,1968-01-01T00:00:00Z,0
27,1968-02-01T00:00:00Z,407
27,1968-03-01T00:00:00Z,137
27,1968-04-01T00:00:00Z,107
27,1968-05-01T00:00:00Z,36
27,1968-06-01T00:00:00Z,29.1
27,1968-07-01T00:00:00Z,0.1
