x,y,slope,station,microhabitat,site_name
-3.372900165,37.10097502,N,B11,wet meadow,Haza Mesa
-3.372960261,37.1010373,N,B12,wet meadow,Haza Mesa
-3.37297157,37.10102986,N,B13,wet meadow,Haza Mesa
-3.372952609,37.101030539999996,N,B14,wet meadow,Haza Mesa
-3.372996282,37.10105464,N,B15,wet meadow,Haza Mesa
-3.372939461,37.10108848,N,B16,wet meadow,Haza Mesa
-3.372951857,37.10110877,N,B17,wet meadow,Haza Mesa
-3.372963688,37.10111676,N,B18,wet meadow,Haza Mesa
-3.373021097,37.10116556,N,B19,wet meadow,Haza Mesa
-3.373035539,37.10116424,N,B110,wet meadow,Haza Mesa
-3.37300346,37.10070874,N,B21,wet meadow,Haza Mesa
-3.373045379,37.10066543,N,B22,wet meadow,Haza Mesa
-3.373082742,37.10066599,N,B23,wet meadow,Haza Mesa
-3.373018659,37.10072713,N,B24,wet meadow,Haza Mesa
-3.37299596,37.10067909,N,B25,wet meadow,Haza Mesa
-3.373054244,37.10057611,N,B26,wet meadow,Haza Mesa
-3.372979287,37.10057301,N,B27,wet meadow,Haza Mesa
-3.3729398,37.10058235,N,B28,wet meadow,Haza Mesa
-3.372913479,37.10059235,N,B29,wet meadow,Haza Mesa
-3.372863052,37.10060281,N,B210,wet meadow,Haza Mesa
-3.373772507,37.100001,N,B31,wet meadow,Haza Mesa
-3.373816359,37.09996469,N,B32,wet meadow,Haza Mesa
-3.373770878,37.09994247,N,B33,wet meadow,Haza Mesa
-3.373775664,37.09991388,N,B34,wet meadow,Haza Mesa
-3.373761642,37.09988454,N,B35,wet meadow,Haza Mesa
-3.373745324,37.09984574,N,B36,wet meadow,Haza Mesa
-3.373752031,37.09980568,N,B37,wet meadow,Haza Mesa
-3.373744845,37.09978469,N,B38,wet meadow,Haza Mesa
-3.373751532,37.09974873,N,B39,wet meadow,Haza Mesa
-3.373720317,37.09968777,N,B310,wet meadow,Haza Mesa
-3.229398918,37.07068661,S,B41,wet meadow,Berchules
-3.229398777,37.07070456,S,B42,wet meadow,Berchules
-3.22941935,37.07074476,S,B43,wet meadow,Berchules
-3.229421476,37.0707611,S,B44,wet meadow,Berchules
-3.229383576,37.07077489,S,B45,wet meadow,Berchules
-3.229357826,37.07078967,S,B46,wet meadow,Berchules
-3.22935504,37.0708145,S,B47,wet meadow,Berchules
-3.229416526,37.07080825,S,B48,wet meadow,Berchules
-3.229402624,37.07083307,S,B49,wet meadow,Berchules
-3.229403144,37.07085814,S,B410,wet meadow,Berchules
-3.229667411,37.07026188,S,B51,wet meadow,Berchules
-3.229688145,37.07032503,S,B52,wet meadow,Berchules
-3.229575935,37.07050153,S,B53,wet meadow,Berchules
-3.229695219,37.07038269,S,B54,wet meadow,Berchules
-3.22970803,37.07042343,S,B55,wet meadow,Berchules
-3.229642309,37.07029313,S,B56,wet meadow,Berchules
-3.22959864,37.07028807,S,B57,wet meadow,Berchules
-3.229573609,37.07030985,S,B58,wet meadow,Berchules
-3.229524559,37.07039179,S,B59,wet meadow,Berchules
-3.22949703,37.07038199,S,B510,wet meadow,Berchules
-3.37270331,37.10195835,N,E11,juniper,Haza Mesa
-3.37261217,37.10191891,N,E12,juniper,Haza Mesa
-3.37268102,37.1018556,N,E13,juniper,Haza Mesa
-3.372628212,37.10184237,N,E14,juniper,Haza Mesa
-3.372649064,37.10184427,N,E15,juniper,Haza Mesa
-3.372717035,37.1018822,N,E16,juniper,Haza Mesa
-3.37261993,37.1020072,N,E17,juniper,Haza Mesa
-3.372589744,37.10202859,N,E18,juniper,Haza Mesa
